,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
9,Thu,11/29/1928,A,Pottsville Maroons,7-0,W,,"Minersville, PA",Minersville Park,10000,,Providence Steam Roller,pro
10,Sun,12/2/1928,H,Green Bay Packers,7-7,T,,"Providence, RI",Providence Cycledrome,9000,,Providence Steam Roller,pro
0,Sun,9/23/1928,A,Green Bay Packers,19-9,W,,"Green Bay, WI",City Stadium,6500,,Frankford Yellow Jackets,fra
1,Sat,9/29/1928,H,Dayton Triangles,6-0,W,,"Philadelphia, PA",Frankford Stadium,4000,,Frankford Yellow Jackets,fra
2,Sun,10/7/1928,A,Providence Steam Roller,10-6,W,,"Providence, RI",Providence Cycledrome,8000,,Frankford Yellow Jackets,fra
3,Sat,10/13/1928,H,New York Yankees,0-13,L,,"Philadelphia, PA",Frankford Stadium,6000,,Frankford Yellow Jackets,fra
4,Sat,10/20/1928,H,Dayton Triangles,13-9,W,,"Philadelphia, PA",Frankford Stadium,7000,,Frankford Yellow Jackets,fra
5,Sat,11/3/1928,H,Detroit Wolverines,25-7,W,,"Philadelphia, PA",Frankford Stadium,8000,,Frankford Yellow Jackets,fra
6,Sun,11/4/1928,A,New York Giants,0-0,T,,"New York, NY",Polo Grounds,8000,,Frankford Yellow Jackets,fra
7,Sat,11/10/1928,H,Pottsville Maroons,19-0,W,,"Philadelphia, PA",Frankford Stadium,,,Frankford Yellow Jackets,fra
8,Sun,11/11/1928,A,Pottsville Maroons,24-0,W,,"Minersville, PA",Minersville Park,,,Frankford Yellow Jackets,fra
9,Sat,11/17/1928,H,Providence Steam Roller,6-6,T,,"Philadelphia, PA",Frankford Stadium,8000,,Frankford Yellow Jackets,fra
10,Sun,11/18/1928,A,Providence Steam Roller,0-6,L,,"Providence, RI",Providence Cycledrome,9727,,Frankford Yellow Jackets,fra
11,Sat,11/24/1928,H,Chicago Cardinals,19-0,W,,"Philadelphia, PA",Frankford Stadium,8000,,Frankford Yellow Jackets,fra
12,Thu,11/29/1928,H,Green Bay Packers,2-0,W,,"Philadelphia, PA",Frankford Stadium,8000,,Frankford Yellow Jackets,fra
13,Sun,12/2/1928,A,Chicago Bears,6-28,L,,"Chicago, IL",Wrigley Field,12000,,Frankford Yellow Jackets,fra
14,Sat,12/8/1928,H,New York Giants,7-0,W,,"Philadelphia, PA",Frankford Stadium,3500,,Frankford Yellow Jackets,fra
15,Sat,12/15/1928,H,Chicago Bears,19-0,W,,"Philadelphia, PA",Frankford Stadium,7000,,Frankford Yellow Jackets,fra
0,Sun,10/14/1928,A,New York Yankees,35-12,W,,"New York, NY",Yankee Stadium,10000,,Detroit Wolverines,det
1,Sun,10/21/1928,H,New York Giants,28-0,W,,"Detroit, MI",University of Detroit Stadium,12000,,Detroit Wolverines,det
2,Sun,10/28/1928,A,Chicago Bears,6-0,W,,"Chicago, IL",Wrigley Field,20000,,Detroit Wolverines,det
3,Sat,11/3/1928,A,Frankford Yellow Jackets,7-25,L,,"Philadelphia, PA",Frankford Stadium,8000,,Detroit Wolverines,det
4,Sun,11/4/1928,A,Providence Steam Roller,0-7,L,,"Providence, RI",Providence Cycledrome,8000,,Detroit Wolverines,det
5,Sun,11/11/1928,A,New York Giants,19-19,T,,"New York, NY",Polo Grounds,25000,,Detroit Wolverines,det
6,Sun,11/18/1928,H,New York Yankees,13-0,W,,"Detroit, MI",University of Detroit Stadium,8000,,Detroit Wolverines,det
7,Sun,11/25/1928,A,Chicago Bears,14-7,W,,"Chicago, IL",Wrigley Field,15000,,Detroit Wolverines,det
8,Thu,11/29/1928,H,Dayton Triangles,33-0,W,,"Detroit, MI",University of Detroit Stadium,,,Detroit Wolverines,det
9,Sun,12/9/1928,A,New York Yankees,34-6,W,,"New York, NY",Yankee Stadium,3500,,Detroit Wolverines,det
0,Sun,9/23/1928,H,Frankford Yellow Jackets,9-19,L,,"Green Bay, WI",City Stadium,6500,,Green Bay Packers,gb
1,Sun,9/30/1928,H,Chicago Bears,12-12,T,,"Green Bay, WI",City Stadium,8500,,Green Bay Packers,gb
2,Sun,10/7/1928,H,New York Giants,0-6,L,,"Green Bay, WI",City Stadium,7000,,Green Bay Packers,gb
3,Sun,10/14/1928,H,Chicago Cardinals,20-0,W,,"Green Bay, WI",City Stadium,4200,,Green Bay Packers,gb
4,Sun,10/21/1928,A,Chicago Bears,16-6,W,,"Chicago, IL",Wrigley Field,15000,,Green Bay Packers,gb
5,Sun,10/28/1928,H,Dayton Triangles,17-0,W,,"Green Bay, WI",City Stadium,3100,,Green Bay Packers,gb
6,Sun,11/4/1928,A,Chicago Cardinals,,-,,"Chicago, IL",Normal Park,,Canceled,Green Bay Packers,gb
7,Sun,11/4/1928,H,Pottsville Maroons,26-14,W,,"Green Bay, WI",City Stadium,5000,,Green Bay Packers,gb
8,Sun,11/11/1928,H,New York Yankees,0-0,T,,"Green Bay, WI",City Stadium,6000,,Green Bay Packers,gb
9,Sun,11/18/1928,A,New York Giants,7-0,W,,"New York, NY",Polo Grounds,12000,,Green Bay Packers,gb
10,Sun,11/25/1928,A,Pottsville Maroons,0-26,L,,"Minersville, PA",Minersville Park,1600,,Green Bay Packers,gb
11,Thu,11/29/1928,A,Frankford Yellow Jackets,0-2,L,,"Philadelphia, PA",Frankford Stadium,8000,,Green Bay Packers,gb
12,Sun,12/2/1928,A,Providence Steam Roller,7-7,T,,"Providence, RI",Providence Cycledrome,9000,,Green Bay Packers,gb
13,Sun,12/9/1928,A,Chicago Bears,6-0,W,,"Chicago, IL",Wrigley Field,14000,,Green Bay Packers,gb
0,Sun,9/23/1928,A,Chicago Cardinals,15-0,W,,"Chicago, IL",Normal Park,4000,,Chicago Bears,chib
