Year,Team,Totals,Points scored in 1st quarter,Points scored in 2nd quarter,Points scored in 3rd quarter,Points scored in 4th quarter,Points scored in overtime,1st quarter,2nd quarter,3rd quarter,4th quarter,Overtime
2016,col,Team Totals,88,117,61,111,12,,,,,
2016,col,Opponents Totals,76,103,44,85,3,,,,,
2016,lou,Team Totals,59,133,88,130,6,,,,,
2016,lou,Opponents Totals,43,126,114,101,0,,,,,
2016,was,Team Totals,40,106,41,143,3,,,,,
2016,was,Opponents Totals,94,65,62,70,6,,,,,
2016,lgb,Team Totals,78,139,112,78,3,,,,,
2016,lgb,Opponents Totals,62,122,100,133,6,,,,,
2016,lsea,Team Totals,89,142,82,102,6,,,,,
2016,lsea,Opponents Totals,51,89,67,99,0,,,,,
2016,ari,Team Totals,54,104,59,93,,,,,,
2016,ari,Opponents Totals,88,78,50,68,,,,,,
2016,roc,Team Totals,77,91,96,132,0,,,,,
2016,roc,Opponents Totals,68,138,60,117,0,,,,,
2016,lne,Team Totals,56,119,94,98,0,,,,,
2016,lne,Opponents Totals,78,120,59,68,6,,,,,
2016,lnyg,Team Totals,93,145,59,135,,,,,,
2016,lnyg,Opponents Totals,82,122,62,122,,,,,,
2016,ind,Team Totals,60,117,53,110,6,,,,,
2016,ind,Opponents Totals,62,99,85,112,0,,,,,
2016,oor,Team Totals,56,105,58,108,0,,,,,
2016,oor,Opponents Totals,71,121,27,82,6,,,,,
2016,cin,Team Totals,42,105,52,80,,,,,,
2016,cin,Opponents Totals,67,125,84,123,,,,,,
2016,nyj,Team Totals,139,157,135,109,0,,,,,
2016,nyj,Opponents Totals,68,127,52,156,3,,,,,
2016,gb,Team Totals,66,101,99,88,0,,,,,
2016,gb,Opponents Totals,78,114,96,75,6,,,,,
2016,lsf,Team Totals,89,135,88,157,,,,,,
2016,lsf,Opponents Totals,92,181,65,116,,,,,,
2016,sf,Team Totals,85,107,88,89,,,,,,
2016,sf,Opponents Totals,75,96,70,161,,,,,,
2016,lind,Team Totals,66,138,46,101,3,,,,,
2016,lind,Opponents Totals,62,90,40,97,3,,,,,
2016,bkn,Team Totals,58,140,81,136,3,,,,,
2016,bkn,Opponents Totals,72,99,91,97,3,,,,,
2016,lmia,Team Totals,71,53,26,74,,,,,,
2016,lmia,Opponents Totals,65,134,79,116,,,,,,
2016,lcle,Team Totals,75,104,25,105,0,,,,,
2016,lcle,Opponents Totals,93,152,98,131,6,,,,,
2017,ne,Team Totals,92,179,96,91,,,,,,
2017,ne,Opponents Totals,62,98,51,85,,,,,,
2017,lbuf,Team Totals,40,105,58,93,6,,,,,
2017,lbuf,Opponents Totals,56,97,94,112,0,,,,,
2017,lten,Team Totals,41,67,71,102,,,,,,
2017,lten,Opponents Totals,71,148,94,80,,,,,,
2017,bos,Team Totals,62,86,80,67,3,,,,,
2017,bos,Opponents Totals,75,101,67,139,0,,,,,
2017,phi,Team Totals,79,137,87,103,0,,,,,
2017,phi,Opponents Totals,65,84,91,62,6,,,,,
2017,dal,Team Totals,46,148,66,135,0,,,,,
2017,dal,Opponents Totals,50,108,69,73,3,,,,,
2017,pit,Team Totals,67,111,44,68,0,,,,,
2017,pit,Opponents Totals,73,103,62,108,3,,,,,
2017,stl,Team Totals,36,82,53,63,0,,,,,
2017,stl,Opponents Totals,77,155,99,70,9,,,,,
2017,c-p,Team Totals,84,113,104,113,3,,,,,
2017,c-p,Opponents Totals,43,68,81,73,3,,,,,
2017,si,Team Totals,52,103,91,85,3,,,,,
2017,si,Opponents Totals,71,98,49,138,0,,,,,
2017,atl,Team Totals,67,111,63,97,,,,,,
2017,atl,Opponents Totals,57,181,96,102,,,,,,
2017,ltb,Team Totals,42,106,66,46,3,,,,,
2017,ltb,Opponents Totals,58,113,94,130,9,,,,,
2017,col,Team Totals,84,116,91,124,0,,,,,
2017,col,Opponents Totals,77,82,70,107,3,,,,,
2017,lou,Team Totals,44,143,85,83,0,,,,,
2017,lou,Opponents Totals,66,64,61,78,3,,,,,
2017,was,Team Totals,55,81,58,107,,,,,,
2017,was,Opponents Totals,75,120,85,93,,,,,,
2017,lgb,Team Totals,59,66,81,83,,,,,,
2017,lgb,Opponents Totals,77,143,66,96,,,,,,
2017,lsea,Team Totals,106,118,107,126,,,,,,
2017,lsea,Opponents Totals,48,81,63,103,,,,,,
2017,ari,Team Totals,60,128,46,120,,,,,,
2017,ari,Opponents Totals,46,80,97,109,,,,,,
2017,roc,Team Totals,74,115,50,103,0,,,,,
2017,roc,Opponents Totals,67,117,77,124,3,,,,,
2017,lne,Team Totals,60,77,36,70,3,,,,,
2017,lne,Opponents Totals,60,123,65,140,0,,,,,
2017,lnyg,Team Totals,77,133,83,89,,,,,,
2017,lnyg,Opponents Totals,51,67,69,65,,,,,,
2017,ind,Team Totals,50,140,94,126,,,,,,
2017,ind,Opponents Totals,86,105,75,110,,,,,,
2017,oor,Team Totals,78,61,47,119,15,,,,,
2017,oor,Opponents Totals,71,130,73,110,0,,,,,
2017,cin,Team Totals,48,83,41,83,9,,,,,
2017,cin,Opponents Totals,64,126,58,72,0,,,,,
2017,nyj,Team Totals,59,123,99,82,,,,,,
2017,nyj,Opponents Totals,67,94,61,105,,,,,,
2017,gb,Team Totals,107,115,98,125,3,,,,,
2017,gb,Opponents Totals,80,86,46,114,,,,,,
2017,lsf,Team Totals,84,114,52,103,,,,,,
2017,lsf,Opponents Totals,44,115,77,79,,,,,,
2017,sf,Team Totals,72,64,57,124,0,,,,,
2017,sf,Opponents Totals,87,121,74,94,6,,,,,
2017,lind,Team Totals,119,161,119,79,,,,,,
2017,lind,Opponents Totals,71,117,41,100,,,,,,
2017,bkn,Team Totals,56,69,99,142,,,,,,
2017,bkn,Opponents Totals,56,122,90,64,,,,,,
2017,lmia,Team Totals,57,100,55,74,9,,,,,
2017,lmia,Opponents Totals,74,80,76,128,3,,,,,
2017,lcle,Team Totals,48,90,70,120,3,,,,,
2017,lcle,Opponents Totals,80,118,76,100,9,,,,,
2018,ne,Team Totals,,,,,,88,157,74,117,
2018,ne,Opponents Totals,,,,,,80,81,80,84,
2018,lbuf,Team Totals,,,,,,52,115,59,90,3
2018,lbuf,Opponents Totals,,,,,,89,85,101,158,0
2018,lten,Team Totals,,,,,,80,52,63,74,
2018,lten,Opponents Totals,,,,,,64,168,40,102,
2018,bos,Team Totals,,,,,,57,106,92,78,0
2018,bos,Opponents Totals,,,,,,90,123,88,134,6
2018,phi,Team Totals,,,,,,88,108,106,87,0
2018,phi,Opponents Totals,,,,,,66,104,53,58,6
2018,dal,Team Totals,,,,,,70,166,101,91,0
2018,dal,Opponents Totals,,,,,,96,69,72,123,0
2018,pit,Team Totals,,,,,,59,94,93,110,3
2018,pit,Opponents Totals,,,,,,64,136,86,100,6
2018,stl,Team Totals,,,,,,69,125,55,119,
2018,stl,Opponents Totals,,,,,,59,203,109,84,
2018,c-p,Team Totals,,,,,,87,136,60,110,9
2018,c-p,Opponents Totals,,,,,,74,76,91,72,3
2018,si,Team Totals,,,,,,83,135,87,125,3
2018,si,Opponents Totals,,,,,,76,99,80,83,6
2018,atl,Team Totals,,,,,,76,58,69,101,6
2018,atl,Opponents Totals,,,,,,70,105,63,62,3
2018,ltb,Team Totals,,,,,,42,81,60,62,
2018,ltb,Opponents Totals,,,,,,77,88,62,89,
2018,col,Team Totals,,,,,,147,150,134,131,3
2018,col,Opponents Totals,,,,,,56,131,98,136,0
2018,lou,Team Totals,,,,,,78,151,99,100,
2018,lou,Opponents Totals,,,,,,98,66,73,92,
2018,was,Team Totals,,,,,,75,78,86,90,
2018,was,Opponents Totals,,,,,,65,136,82,66,
2018,lgb,Team Totals,,,,,,58,82,63,84,3
2018,lgb,Opponents Totals,,,,,,85,124,108,150,0
2018,lsea,Team Totals,,,,,,76,77,63,117,6
2018,lsea,Opponents Totals,,,,,,24,90,79,128,3
2018,ari,Team Totals,,,,,,41,107,191,115,3
2018,ari,Opponents Totals,,,,,,61,108,53,114,12
2018,roc,Team Totals,,,,,,54,95,35,97,
2018,roc,Opponents Totals,,,,,,60,134,61,104,
2018,lne,Team Totals,,,,,,74,95,80,117,3
2018,lne,Opponents Totals,,,,,,61,114,68,169,0
2018,lnyg,Team Totals,,,,,,85,138,82,116,0
2018,lnyg,Opponents Totals,,,,,,38,58,66,115,6
2018,ind,Team Totals,,,,,,79,87,78,116,
2018,ind,Opponents Totals,,,,,,75,116,53,97,
2018,oor,Team Totals,,,,,,75,107,92,96,6
2018,oor,Opponents Totals,,,,,,104,131,61,104,0
2018,cin,Team Totals,,,,,,69,101,58,96,
2018,cin,Opponents Totals,,,,,,43,124,94,99,
2018,nyj,Team Totals,,,,,,81,161,94,162,6
2018,nyj,Opponents Totals,,,,,,98,101,81,83,0
2018,gb,Team Totals,,,,,,64,141,72,137,0
2018,gb,Opponents Totals,,,,,,95,96,88,138,6
2018,lsf,Team Totals,,,,,,96,128,40,112,
2018,lsf,Opponents Totals,,,,,,89,104,83,106,
2018,sf,Team Totals,,,,,,71,138,71,113,3
2018,sf,Opponents Totals,,,,,,91,166,93,114,0
2018,lind,Team Totals,,,,,,105,174,131,117,
2018,lind,Opponents Totals,,,,,,84,112,106,82,
2018,bkn,Team Totals,,,,,,78,129,82,149,0
2018,bkn,Opponents Totals,,,,,,71,106,48,119,3
2018,lmia,Team Totals,,,,,,61,118,99,60,3
2018,lmia,Opponents Totals,,,,,,100,128,91,116,0
2018,lcle,Team Totals,,,,,,71,50,32,72,
2018,lcle,Opponents Totals,,,,,,87,158,100,80,
2019,ne,Team Totals,,,,,,118,97,103,98,
2019,ne,Opponents Totals,,,,,,46,82,51,46,
2019,lbuf,Team Totals,,,,,,43,107,55,109,
2019,lbuf,Opponents Totals,,,,,,52,61,66,80,
2019,lten,Team Totals,,,,,,60,78,54,84,
2019,lten,Opponents Totals,,,,,,89,114,73,83,
2019,bos,Team Totals,,,,,,54,115,49,85,3
2019,bos,Opponents Totals,,,,,,91,140,106,157,0
2019,phi,Team Totals,,,,,,128,156,106,138,3
2019,phi,Opponents Totals,,,,,,31,123,50,78,0
2019,dal,Team Totals,,,,,,47,96,89,57,0
2019,dal,Opponents Totals,,,,,,67,94,49,90,3
2019,pit,Team Totals,,,,,,77,110,61,87,
2019,pit,Opponents Totals,,,,,,76,110,98,109,
2019,stl,Team Totals,,,,,,66,87,36,90,9
2019,stl,Opponents Totals,,,,,,98,132,96,91,3
2019,c-p,Team Totals,,,,,,47,115,92,124,
2019,c-p,Opponents Totals,,,,,,75,112,92,106,
2019,si,Team Totals,,,,,,69,77,110,146,
2019,si,Opponents Totals,,,,,,74,99,87,71,
2019,atl,Team Totals,,,,,,89,104,80,88,0
2019,atl,Opponents Totals,,,,,,64,116,93,84,6
2019,ltb,Team Totals,,,,,,60,59,65,116,
2019,ltb,Opponents Totals,,,,,,117,95,86,99,
2019,col,Team Totals,,,,,,90,177,103,81,
2019,col,Opponents Totals,,,,,,80,67,57,104,
2019,lou,Team Totals,,,,,,78,95,52,57,
2019,lou,Opponents Totals,,,,,,39,86,87,104,
2019,was,Team Totals,,,,,,85,113,27,88,
2019,was,Opponents Totals,,,,,,62,138,111,108,
2019,lgb,Team Totals,,,,,,53,115,69,94,6
2019,lgb,Opponents Totals,,,,,,87,89,88,81,0
2019,lsea,Team Totals,,,,,,69,103,104,103,6
2019,lsea,Opponents Totals,,,,,,72,129,68,85,0
2019,ari,Team Totals,,,,,,67,139,88,140,
