Year,Team,Totals,1st,2nd,3rd,4th,YDS,TOP,Rushing,Passing,Penalty,3RD DOWN EFFICIENCY,4TH DOWN EFFICIENCY,PEN,OT
1926,jac,Team Totals,10,27,38,14,,,,,,,,,
1926,jac,Opponents Totals,28,24,16,35,,,,,,,,,
1926,lind,Team Totals,19,28,16,44,,,,,,,,,
1926,lind,Opponents Totals,14,15,7,24,,,,,,,,,
1926,was,Team Totals,0,22,5,30,,,,,,,,,
1926,was,Opponents Totals,23,30,26,20,,,,,,,,,
1926,col,Team Totals,0,33,6,21,,,,,,,,,
1926,col,Opponents Totals,16,44,46,44,,,,,,,,,
1926,tol,Team Totals,7,19,0,15,,,,,,,,,
1926,tol,Opponents Totals,8,13,17,28,,,,,,,,,
1926,ltb,Team Totals,0,16,7,0,,,,,,,,,
1926,ltb,Opponents Totals,33,25,14,17,,,,,,,,,
1926,lmin,Team Totals,6,3,0,6,,,,,,,,,
1926,lmin,Opponents Totals,7,38,9,28,,,,,,,,,
1926,c-p,Team Totals,2,6,0,0,,,,,,,,,
1926,c-p,Opponents Totals,21,37,7,27,,,,,,,,,
1926,chit,Team Totals,13,7,6,0,,,,,,,,,
1926,chit,Opponents Totals,14,37,18,24,,,,,,,,,
1926,nyj,Team Totals,0,11,12,23,,,,,,,,,
1926,nyj,Opponents Totals,31,49,31,43,,,,,,,,,
1926,dal,Team Totals,0,3,0,0,,,,,,,,,
1926,dal,Opponents Totals,0,29,20,7,,,,,,,,,
1926,latl,Team Totals,0,0,0,0,,,,,,,,,
1926,latl,Opponents Totals,,,,,,,,,,,,,
1927,lkc,Team Totals,50,44,48,55,,,,,,,,,
1927,lkc,Opponents Totals,0,0,13,7,,,,,,,,,
1927,har,Team Totals,7,32,28,46,,,,,,,,,
1927,har,Opponents Totals,6,23,0,14,,,,,,,,,
1927,llarm,Team Totals,14,46,26,63,,,,,,,,,
1927,llarm,Opponents Totals,15,19,26,38,,,,,,,,,
1927,min,Team Totals,41,48,60,60,,,,,,,,,
1927,min,Opponents Totals,22,41,18,26,,,,,,,,,
1927,larm,Team Totals,7,38,40,20,,,,,,,,,
1927,larm,Opponents Totals,21,20,16,31,,,,,,,,,
1927,bal,Team Totals,39,33,26,44,,,,,,,,,
1927,bal,Opponents Totals,24,66,38,46,,,,,,,,,
1927,lten,Team Totals,42,59,7,44,,,,,,,,,
1927,lten,Opponents Totals,5,70,44,47,,,,,,,,,
1927,dul,Team Totals,22,38,8,12,,,,,,,,,
1927,dul,Opponents Totals,23,49,63,28,,,,,,,,,
1927,atl,Team Totals,3,25,22,19,,,,,,,,,
1927,atl,Opponents Totals,44,28,20,42,,,,,,,,,
1927,ham,Team Totals,0,15,0,0,,,,,,,,,
